center_x,center_y,center_z,psi
-1.3534278826836,0.5126224575467497,5.0050489830187,0.0
-1.3766640406051218,0.5096659771420686,5.003866390856827,0.0
-1.399766893612096,0.5071027493484652,5.002841099739386,0.0
-1.4227355296434436,0.504933178929321,5.001973271571728,0.0
-1.4455690419367428,0.5031576084849565,5.001263043393982,0.0
-1.4682665290640253,0.5017763183985267,5.000710527359411,0.0
-1.4908270949673623,0.5007895267917499,5.0003158107167,0.0
-1.5132498489942456,0.5001973894904599,5.000078955796184,0.0
-1.5355339059327373,0.5,5.0,0.0
-1.557678386046427,0.5001973894904599,5.000078955796184,0.0
-1.579682415109156,0.5007895267917499,5.0003158107167,0.0
-1.601545124439535,0.5017763183985271,5.000710527359411,0.0
-1.6232656509352337,0.5031576084849565,5.001263043393982,0.0
-1.6448431371070567,0.504933178929321,5.001973271571728,0.0
-1.666276731112799,0.5071027493484652,5.002841099739386,0.0
-1.687565586790869,0.5096659771420686,5.003866390856827,0.0
-1.7087088636936958,0.5126224575467497,5.0050489830187,0.0
-1.7297057271209106,0.515971723699979,5.006388689479992,0.0
-1.7505553481522975,0.5197132467138053,5.0078852986855225,0.0
-1.7712569036805195,0.5238464357583719,5.009538574303349,0.0
-1.79180957644361,0.5283706381552151,5.011348255262086,0.0
-1.8122125550572399,0.5332851394803297,5.013314055792132,0.0
-1.8324650340467485,0.5385891636769866,5.015435665470795,0.0
-1.8525662138789456,0.5442818731782784,5.017712749271311,0.0
-1.8725153009936686,0.5503623690393824,5.020144947615753,0.0
-1.8923115078351165,0.5568296910795163,5.0227318764318065,0.0
-1.9119540528829404,0.5636828180335574,5.025473127213423,0.0
-1.9314421606830945,0.570920667713315,5.028368267085326,0.0
-1.9507750618784518,0.5785420971784223,5.031416838871369,0.0
-1.9699519932391758,0.5865459029168147,5.034618361166726,0.0
-1.9889721976928545,0.5949308210347848,5.037972328413914,0.0
-2.0078349243543823,0.6036955274565603,5.041478210982624,0.0
-2.0265394285556093,0.6128386381333923,5.045135455253357,0.0
-2.0450849718747364,0.6223587092621159,5.048943483704846,0.0
-2.0634708221654696,0.632254237513139,5.052901695005255,0.0
-2.0816962535859194,0.6425236602678388,5.057009464107136,0.0
